OBJECTID,SITE_ID,PRIMARYSP,STATUS,LEASE_TYPE,LEASEHOLDE,CONTACT,LOCATION,WATERBODY,CITY,COUNTY,EXPIRATION,GlobalID,Acres,created_user,created_date,last_edited_user,last_edited_date,decision_url,SHAPEarea,SHAPElen
79,SWAN BI,Atlantic salmon,P,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,Black Island, ,Frenchboro,Hancock,2019/03/14 05:00:00+00,{1052F35F-5EA8-4DB7-85B9-5178C57906C3},14.96914592,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/swanbitransfer2011.pdf,60577.9842844413,1157.84586074399
80,EASTW SCN,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,"Sand Cove North, Great Wass Island",Eastern Bay,Beals,Washington,2027/07/22 05:00:00+00,{9BCFA95C-2B08-416D-9563-096FDA8F62EC},9.99321861,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/EXECUTEDdecisionEASTWSCN.pdf,40441.1208930038,835.568106063738
81,EASTW SI,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,West of Spectacle Island,Eastern Bay,Beals,Washington,2023/09/30 05:00:00+00,{34AA19D6-27D9-4B3B-90A3-3555F116627C},9.92067873,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/EASTWSIFOFDecisionSigned.pdf,40147.562423849,905.376234923876
82,MACH LI,Atlantic salmon,E,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,Off the northern side of Libby Island,Machias Bay,Machiasport,Washington,2006/11/02 05:00:00+00,{1F6A485C-198B-45FE-A8D6-0DF9BE3594A8},20.0874201,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,"https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/Atlantic%20Salmon%20of%20Maine,%20off%20northern%20end%20of%20Little%20Libby%20Island,%20Machias%20Bay,%20Machiasport.pdf",81290.9050472974,1309.99034568863
83,MACH ST,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,Off the northwest corner of Stone Island,Machias Bay,Machiasport,Washington,2027/11/17 05:00:00+00,{5D6393D9-62FD-4B6B-8DBC-17F9797CD158},10.04085933,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FINALEXECUTEDDecisionMACHST.pdf,40633.9160563309,837.849345566185
84,MACH II,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,Northeast of Starboard Island,Machias Bay,Machiasport,Washington,2023/09/30 05:00:00+00,{CFAC0214-D6A3-496A-B801-743F00ACF2F4},39.95629444,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/MACHIIFOFdecisionSigned.pdf,161697.386753014,1813.69703925384
85,MACH CI,Atlantic salmon,T,F,"Phoenix Salmon US., Inc.",David Miller/Jennifer Robinson,Northwest side of Cross Island,Machias Bay,Cutler,Washington,2017/09/01 05:00:00+00,{029F65E9-0028-44D2-8D60-E7961B5844A4},24.97133792,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,101055.419252092,1272.70024372767
86,MACH CI2,Atlantic salmon,T,F,"Atlantic Salmon of Maine, LLC.",David Miller/Jennifer Robinson,Northwest side of Cross Island,Machias Bay,Cutler,Washington,2007/01/07 05:00:00+00,{468B8C1F-21EF-4977-8AC4-C4B5F0F9F9E5},20.03442944,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,81076.4594637919,1139.00756675444
87,MACH CW,Atlantic salmon,T,F,Maine Coast Nordic,David Miller/Jennifer Robinson,West of Cutler Peninsula,Machias Bay,Cutler,Washington,2012/03/12 05:00:00+00,{F1814A55-FBAD-4CC2-8E5A-1FD2BB4A3CFD},9.93024985,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,40186.2953703941,907.018702405345
88,LIT CH,Atlantic salmon,E,F,"Cates, Robert",Robert Cates, ,Little River,Cutler,Washington,2017/12/15 05:00:00+00,{7EC67F95-D7F8-4F41-8838-B8B539313343},6.36960516,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,25776.8775499529,776.281819937305
89,LIT CN,Atlantic salmon,T,F,"Cates, Robert",Robert Cates, ,Little River,Cutler,Washington,2013/09/28 05:00:00+00,{32FC1F7D-4B58-4DA8-B60E-3BF328F2298E},6.88520698,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,27863.4440679704,792.364755777286
90,COB TE,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,"Southeast of Treat Island, Johnson Bay",Cobscook Bay,Eastport,Washington,2026/12/29 05:00:00+00,{99B88477-B093-4EF9-8179-5D934A8574EC},15.18741203,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/Decision-Executed-COBTE.pdf,61461.2759144586,1016.70561082496
91,COB CC,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,Comstock Point,Cobscook Bay,Lubec,Washington,2027/12/15 05:00:00+00,{ACD4A939-3806-42B6-B44E-075ED28C2C71},5.1417252,,1970/01/01 00:00:00+00,MEDMR,2020/11/04 22:31:19+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/ExecutedDecisionCOBCC.pdf,20807.8236349493,585.18253999329
92,COB CC,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,Comstock Point,Cobscook Bay,Lubec,Washington,2027/12/15 05:00:00+00,{A40798BD-37C4-4D2C-AB73-25C21AA336C6},10.28195849,,1970/01/01 00:00:00+00,MEDMR,2020/11/04 22:31:41+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/ExecutedDecisionCOBCC.pdf,41609.6097530424,926.487237552454
93,COB PC,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,Prince Cove,Cobscook Bay,Eastport,Washington,2027/11/17 05:00:00+00,{CF20A481-9423-4324-973D-F3953C0FD4FC},26.49166683,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FINALEXECUTEDDecisionCOBPC6-27-17.pdf,107207.972054305,1462.29616065532
94,COB SH,Atlantic salmon,T,F,Maine Salmon Inc.,Frank Ayres,Off Shackford Head,Cobscook Bay,Eastport,Washington,2009/01/05 05:00:00+00,{9FDCE4C0-37C7-4204-83F0-5D5AFC4E5288},8.21525623,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,33245.9624493814,1004.28841490553
95,COB DC,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,Deep Cove,Cobscook Bay,Eastport,Washington,2026/12/11 05:00:00+00,{38839341-EFA6-4DD9-AE7C-96E51041B14E},25.14294903,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FINALEXECUTEDRenewalDecisionCOBDC.pdf,101749.904744507,1277.90389765778
96,COB GS,Atlantic salmon,T,F,G.C. Inc.,Bill Groom,"Off the northeast side of Gove Point, Seward Neck",Cobscook Bay,Lubec,Washington,2010/04/02 05:00:00+00,{9E365EE7-189F-4295-BC0E-8D16A414991F},25.75462689,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,104225.277230204,1485.54713246119
97,COB MI2,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,South of Matthews Island,Cobscook Bay,Eastport,Washington,2021/06/04 05:00:00+00,{28BF8B29-18AC-4EDD-8536-6B3A12E4915F},29.94551646,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/cobmi2renewal.pdf,121185.205603814,1393.99434300916
98,COB BS,Atlantic salmon,T,F,G.C. Inc.,Bill Groom,Southeast of Birch Point and northwest of Goose Islan,Cobscook Bay,Perry and Eastport,Washington,2010/04/02 05:00:00+00,{7EC4F2FB-34BC-4C27-ADF0-0ACFF3D46624},23.58840516,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,95458.8888978624,1239.93596945248
99,COB JK,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,"South of Kendall Head, Johnson Cove",Cobscook Bay,Eastport,Washington,2027/09/01 05:00:00+00,{C3A60539-C632-4F3A-BE1A-7DCDF17D50E5},22.01952697,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/cobjktransfer2011.pdf,89109.864124164,1219.1211607843
100,COB RN2,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,North of Rodgers Island,Cobscook Bay,Lubec,Washington,2024/06/15 05:00:00+00,{8241EC90-7FFB-4A3A-B060-A1992BC82652},32.00389985,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionCOBRN2.pdf,129515.18766177,1461.70036444481
101,COB LU2,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,Eastern Johnson Bay,Cobscook Bay,Lubec,Washington,2024/06/15 05:00:00+00,{6B0A18C9-F251-41B0-B9E4-A669E721BD5E},32.1332911,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionCOBLU2.pdf,130038.815448362,1462.87612486135
102,COB HP,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,Harris Cove,Cobscook Bay,Eastport,Washington,2025/07/19 05:00:00+00,{6FB3E8F9-22AC-4D6F-BD8B-67EDD2D46711},9.96992,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FinalDecision-COBHP-6-19-18.pdf,40346.8347880719,818.296778653757
103,COB SB,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,South Bay,Cobscook Bay,Lubec,Washington,2025/03/23 05:00:00+00,{279045ED-16FF-4C8B-B3FA-A2976476338A},31.78413543,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionCOBSB-executed.pdf,128625.832579679,1436.94010641203
104,COB BP,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,Birch Point,Cobscook Bay,Perry,Washington,2025/03/23 05:00:00+00,{CB1331B6-ED0F-47C7-B422-08BEE44AF520},33.03489686,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionCOBBP-executed.pdf,133687.484511396,1467.43541045043
105,DAM NP,American oysters,A,S,"Peters, Eric",Eric Peters,North of Hall Pt.,Damariscotta River,Damariscotta,Lincoln,2025/07/04 05:00:00+00,{F7DCD8AB-9988-46D4-9E92-5D9AF6799742},2.55217148,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionDAMNP.pdf,10328.2715648031,475.63804060093
106,SHE SP,American oysters,T,S,"Schweitzer, Daniel",Daniel Schweitzer,Mason Station salt pond,Sheepscot River,Wiscasset,Lincoln,2015/10/12 05:00:00+00,{3EDAF72F-B900-49C9-B4BB-C5A655CAEFFF},1.94548108,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,7873.08259886803,363.512572515801
108,BHB TI,Blue mussels,T,S,Maine Cultured Mussels Inc.,Susan Swanson,East of Tinker Island,Blue Hill Bay,Tremont,Hancock,2015/07/25 05:00:00+00,{CA5FE1B4-C291-4338-9774-A95B79A0E662},53.46618453,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,216369.972227972,1889.13497048232
109,DAM WP,American oysters,A,S,Glidden Point Oyster Company,Ryan McPherson,West of Prentiss Island,Damariscotta River,Bristol and S. Bristol,Lincoln,2023/05/24 05:00:00+00,{F1BB3056-3279-4421-BD8D-661CEB6B9D8D},3.93320928,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionDAMWP.pdf,15917.1332381339,935.453728145895
110,DAM WP,American oysters,A,S,Glidden Point Oyster Company,Ryan McPherson,West of Prentiss Island,Damariscotta River,Bristol and S. Bristol,Lincoln,2023/05/24 05:00:00+00,{DE88E4D9-E596-4394-A113-445B1A8652F7},4.25003527,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionDAMWP.pdf,17199.2825254926,853.878784460584
111,DAM WP,American oysters,A,S,Glidden Point Oyster Company,Ryan McPherson,West of Prentiss Island,Damariscotta River,Bristol and S. Bristol,Lincoln,2023/05/24 05:00:00+00,{7487A6E1-2C52-4054-A20F-6ABB7727F2A8},2.1905097,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionDAMWP.pdf,8864.67823088103,844.70836399862
113,COUS BP,American oysters,T,S,"Maine Oyster, Inc.",Eric Horne,Between Lambert and Browns Points,Cousins River,Freeport and Yarmouth,Cumberland,2013/11/24 05:00:00+00,{B6F6A00E-8086-45DE-A1DF-09FB7F95393B},1.14001711,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,4613.48554900263,827.820173900176
114,EAST GL,Blue mussels,A,S,"Pemaquid Mussel Farms, LLC./Levesque, Tim",Peter Fischer,East of Googins Ledge,Eastern Bay,Bar Harbor,Hancock,2026/01/11 05:00:00+00,{8ADA9CE9-1DF3-44DF-8201-5B43F71687A3},7.99844224,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFRenewalDecisionEASTGL.pdf,32368.5473617163,730.227573043245
115,EAST HP,Blue mussels,A,S,"Acadia Aqua Farms, LLC.",Theo and Fiona de Koning,Hadley Point,Mount Desert Narrows,Bar Harbor,Hancock,2025/12/13 05:00:00+00,{16DC5978-0444-4A2E-9AA8-41D2A31EBAF9},40.3631485,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionEASTHP.pdf,163343.866747454,2123.14921376873
116,DAM SL,American oysters,A,S,"Dickinson, Christopher",Christopher Dickinson, ,Damariscotta River,Bristol and Damariscotta,Lincoln,2026/01/29 05:00:00+00,{3834230D-562B-4347-9D6D-CB9B940778AD},0.2266695,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/DecisiononTransferDAMSL.pdf,917.298936943163,132.725979109108
117,MED BP,American oysters,A,S,Up River Oyster Corporation,Barrett Lynde,North of Bradford Point,Meduncook River,Cushing,Knox,2026/02/05 05:00:00+00,{25A10764-137C-4D2E-BFCF-658E8AB96F38},0.1138348,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionMEDBP.pdf,460.673074141143,90.8671442898217
118,PRES MP,American oysters,T,S,"Horne, Eric and Valy Steverlynck",Eric Horne/Valy Steverlynck, ,Presumpscot River,Falmouth,Cumberland,2015/07/31 05:00:00+00,{7912FFF7-9D11-4B59-B1E6-266678A99C22},0.75078363,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,3038.31354326084,541.161181055052
119,MED GI2,Blue mussels,T,E,"Farmer, Paul",Paul Farmer,West of Gay Island,Meduncook River,Cushing,Knox,2009/03/26 05:00:00+00,{E9DAA92A-D7C2-43FC-BA92-459B5FECE6EE},0.27924747,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,1130.07441425981,141.189847805777
120,PEN JI,Green sea urchins,T,E,Friendship International / Brad and Adam Sc,James Wadsworth,Between Lime and Job Islands,Penobscot Bay,Islesboro,Waldo,2009/03/30 05:00:00+00,{06073643-DFB9-4D88-891A-4385424E004F},2.0160019,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,8158.47023115487,377.961259896134
121,PEN SI,Green sea urchins,T,E,Friendship International / Brad and Adam Sc,James Wadsworth,North of Sloop Island,Penobscot Bay,Deer Isle,Hancock,2009/03/30 05:00:00+00,{BE2518CB-791E-47FC-BAB9-43BFE04189E8},2.0182704,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,8167.65054170816,378.526059130864
124,DAM UR,American oysters,T,S,Maine Sea Grant College Program,Dana Morse,Between Jacks Point and Little Point,Damariscotta River,Newcastle,Lincoln,2016/07/16 05:00:00+00,{5FC6A125-BD24-4BF7-9A83-E86F61496D42},0.3157824,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,1277.92603282282,154.474148320142
125,PEN STH,Blue mussels,T,S,Downeast Aquaculture LLC.,Edward Hutchinson,"St. Helena Island, Merchant Row",Penobscot Bay,Stonington,Hancock,2016/03/15 05:00:00+00,{A455215D-4F54-48FD-BCA5-A06215AFCB52},3.75956762,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,15214.4303809115,815.419352851006
126,MILL OP,American oysters,T,S,"Anderson, James",James Anderson, ,Mill River,Harrington,Washington,2016/08/06 05:00:00+00,{D4E839B3-665E-4176-941A-99528EB08EB6},5.2322589,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,21174.2005411058,1123.89622750561
321,COB TW,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,Southeast of Treat Island,Cobscook Bay,Eastport,Washington,2027/05/20 05:00:00+00,{87F5DDE1-3D39-43E3-B0ED-1FD51735541F},14.98453807,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/ExecutedRenewalDecisionCOBTW.pdf,60640.2741069087,985.028913932783
322,COB FH,Green sea urchins,T,S,Federal Harbor Farms,Hank Stence,"Between Hog and Long Islands, South Bay",Cobscook Bay,Lubec,Washington,2015/04/05 05:00:00+00,{1466C094-D6DF-491D-85D2-8B910DCFB52B},9.05075963,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,36627.1247279067,1505.87785031471
323,COB FH,Green sea urchins,T,S,Federal Harbor Farms,Hank Stence,"Between Hog and Long Islands, South Bay",Cobscook Bay,Lubec,Washington,2015/04/05 05:00:00+00,{258F19CD-3B8C-4837-BFE7-2EB36CDB7B04},6.40203499,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,25908.1164086544,1219.0652077234
324,COB FH,Green sea urchins,T,S,Federal Harbor Farms,Hank Stence,"Between Hog and Long Islands, South Bay",Cobscook Bay,Lubec,Washington,2015/04/05 05:00:00+00,{6A16571F-AF0E-47A5-B84B-885AC0CC0928},5.37871674,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,21766.8943740045,1083.00858229958
641,TAUN HB,American oysters,T,S,Taunton Bay Oyster Company Inc.,Michael Briggs,,Taunton and Hog Bays,Franklin,Hancock,2013/09/09 05:00:00+00,{5689460F-9627-49CC-ACAE-FC3B4D1B7094},1.57952597,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,6392.11482157383,324.072314771142
1281,DAM GL3,American oysters,A,S,Pemaquid Oyster Company Inc.,Christopher Davis,Goose Ledges,Damariscotta River,Newcastle,Lincoln,2026/09/01 05:00:00+00,{E7016C59-1127-46E9-96CC-F6EA971AF77B},10.13963322,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/FOFDecisionDAMGL3Executed.pdf,41033.6398021916,1104.98010221917
1602,BHB LI3,Blue mussels,T,S,Maine Cultured Mussels / Mussel Bound Farms,Erick Spencer Swanson,East of Long Island,Blue Hill Bay,Blue Hill,Hancock,2017/05/24 05:00:00+00,{8429AC82-BCB4-4CDF-B623-D209F5C59BB6},51.42913913,,1970/01/01 00:00:00+00,MEDMR,2020/11/05 21:49:49+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/MaineCulturedMussels-MusselBoundFarmsBHBLI3EofLongIsBHB.pdf,208126.341987389,1828.90250173463
1605,MACH CIN,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,Northwest side of Cross Island,Machias Bay,Cutler,Washington,2027/09/04 05:00:00+00,{643F5109-4C36-47B8-8ACA-84BD88CE9CC6},34.87654643,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/EXECUTEDdecisionMACHCIN.pdf,141140.37592316,1502.76750057193
1610,OHP VH2,American oysters,T,S,"Weller, David and Melissa Berry",David Weller,Old Harbor Pond,Penobscot Bay,Vinalhaven,Knox,2017/06/12 05:00:00+00,{4C130F39-7228-4B31-82A1-58ADE8BDFF92},4.19716477,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,16985.3231897478,654.925895062065
1611,OHP VH2,American oysters,T,S,"Weller, David and Melissa Berry",David Weller,The Basin,Penobscot Bay,Vinalhaven,Knox,2017/06/12 05:00:00+00,{0652B4C4-E8A7-47FB-BEFE-E3559BE8BF08},2.55322977,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,10332.5543092499,479.187595498956
1925,SHE LE2,American oysters,E,S,"Maine Oyster, Inc.",Eric Horne/Valy Steverlynck,Lehman Island,Sheepscot River,Newcastle,Lincoln,2017/12/03 05:00:00+00,{04339DCB-F43C-4613-BFF5-79B0070FDD5C},0.4894289,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/hornelehmanisland2007.pdf,1980.64848661993,245.523732453523
1926,SHE LE2,American oysters,E,S,"Maine Oyster, Inc.",Eric Horne/Valy Steverlynck,Lehman Island,Sheepscot River,Newcastle,Lincoln,2017/12/03 05:00:00+00,{11389B28-FFDB-46B2-8164-A51920BB4D22},1.08140078,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/hornelehmanisland2007.pdf,4376.2736837677,461.205860575136
2245,JOHN NB,American oysters,T,E,"Cheney, David P.",David Cheney,North Branch,Johns River,South Bristol,Lincoln,2011/02/28 05:00:00+00,{6674F220-0C09-4345-BF11-39B361126247},1.96084588,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,7935.26173588087,530.182805888497
2251,DAM CC2,Marine algae,A,W,Damariscove Seafood LLC.,Peter Fischer,Clarks Cove,Damariscotta River,South Bristol,Lincoln,2021/05/20 05:00:00+00,{E4E8F80B-EC01-4459-B7C2-2833FB871B98},11.9920697,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,48530.1842771517,958.235082010132
2562,BHB GC1,Quahogs,T,E,"Porada, Joseph",Joe Porada,Goose Cove,Blue Hill Bay,Trenton,Hancock,2011/04/30 05:00:00+00,{1F1B8934-F13D-447F-8549-0C906DA16957},1.97956131,,1970/01/01 00:00:00+00,MEDMR,2020/11/05 21:47:07+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/JosephPoradaBHB-GC1GC2GC3HayesPtOakPtGooseCoveTrenton.pdf,8011.00041418745,379.777191253579
2563,BHB GC2,Quahogs,T,E,"Porada, Joseph",Joe Porada,Goose Cove,Blue Hill Bay,Trenton,Hancock,2011/04/30 05:00:00+00,{1D41881C-186C-4751-B477-C36101D7F8A3},1.98357402,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/JosephPoradaBHB-GC1GC2GC3HayesPtOakPtGooseCoveTrenton.pdf,8027.23924529302,380.693569961358
2564,BHB GC3,Quahogs,T,E,"Porada, Joseph",Joe Porada,Goose Cove,Blue Hill Bay,Trenton,Hancock,2011/04/30 05:00:00+00,{5A34678E-D1C2-46F6-9B7F-283002E72C15},1.99030364,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/JosephPoradaBHB-GC1GC2GC3HayesPtOakPtGooseCoveTrenton.pdf,8054.47306241127,380.332379694548
2566,FREN PI3,Atlantic cod,T,E,"Great Bay Aquaculture, LLC",George Nardi,South of Preble Island,Frenchman Bay,Sorrento,Hancock,2011/03/16 05:00:00+00,{F449E9CD-B0B1-40E7-BD9F-6ACF41C4DE17},1.84968635,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,7485.41509781084,2764.36632902139
2567,MACH CW2,Atlantic salmon,A,F,"Cooke Aquaculture USA, Inc.",Jennifer Robinson,West of Cutler Peninsula,Machias Bay,Cutler,Washington,2038/06/11 05:00:00+00,{A1B9E8FD-BA5B-44E0-A1F2-30D178730BC1},34.47973731,,1970/01/01 00:00:00+00,MEDMR,2020/11/04 22:39:13+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/Decision-RenewalMACHCW2.pdf,139534.546392437,1676.80607892676
2568,PINK PS2,American oysters,A,S,Petit Manan Seafood,Charles Wallace,Pinkham Stream,Pinkham Bay,Steuben,Washington,2027/12/03 05:00:00+00,{2C4C0B03-C0C5-4410-970B-D0DB554319AD},2.09787941,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/charleswallacesteuben2007.pdf,8489.81675955291,752.851421021618
2570,PINK PS2,American oysters,A,S,Petit Manan Seafood,Charles Wallace,Pinkham Stream,Pinkham Bay,Steuben,Washington,2027/12/03 05:00:00+00,{3BD9DB7B-BED0-47F4-B3CA-16DEED2E82DF},0.05795833,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/charleswallacesteuben2007.pdf,234.549053401746,75.793598533222
2571,DAM JP2,American oysters,A,S,Glidden Point Oyster Company,Ryan McPherson,South of Jack's Point,Damariscotta River,Newcastle,Lincoln,2038/06/11 05:00:00+00,{E3815C3D-3FE7-4739-8AD5-B366D7B38C9C},7.75488368,,1970/01/01 00:00:00+00,MEDMR,2020/11/12 21:23:12+00,https://www.maine.gov/dmr/aquaculture/leases/decisions/documents/Decision-RenewalDAMJP2.pdf,31382.900812281,720.556678975579
2572,DAM HI4,American oysters,T,E,"Norumbega Oyster, Inc.",Eric Peters,Southeast of Hog Island,Damariscotta River,Damariscotta,Lincoln,2011/09/15 05:00:00+00,{80E5BD0C-811F-4C57-92F5-79667219BFBE},1.90009991,,1970/01/01 00:00:00+00,MEDMR,2020/08/07 03:18:24+00,,7689.43153334169,378.681944308728
